47182,京味儿,,
47183,精神头儿,,
47184,九牛一毛,,
47185,刊头,,
47186,看得上,,
47187,烤鸡,,
47188,肯于,,
47189,空勤,,
47190,恐怖片,,
47191,口形,,
47192,口译,,
47193,苦活儿,,
47194,奎宁,,外来
47195,喇叭口,,
47196,篮筐,,
47197,空仓,,
47198,老骨头,,
47199,了局,,
47200,零活儿,,
47201,零七八碎,,
47202,溜滑,,
47203,鎏金,,
47204,鸬鹚,,
47205,慢慢腾腾,,
47206,毛躁,,
47207,门巴族,,
47208,苗期,,
47209,秒表,,
47210,篾片,,
47211,名人效应,,
47212,明鉴,,
47213,秣马厉兵,,
47214,墨迹未干,,
47215,牧畜,,
47216,牧羊犬,,
47217,拿办,,
47218,南音,,
47219,内窥镜,,
47220,逆党,,
47221,娘亲,,
47222,女气,,
47223,赖婚,,
47224,啪嗒,,
47225,判词,,
47226,陪绑,,
47227,配属,,
